DateTime,AddedIPs,RemovedIPs
1601724882,1,0
1601728669,1,0
1601734337,0,3
1601738361,2,0
1601739815,0,1
1601742337,0,2
1601744126,1,0
1601745604,0,4
1601748249,1,0
1601750084,0,1
1601752854,11,1
1601753680,15,0
1601756744,8,0
1601767358,1,0
1601770720,0,1
1601774611,1,0
1601778877,1,0
1601784384,1,0
1601789036,1,0
1601792077,0,1
1601796337,1,1
1601799952,0,2
1601804086,1,2
1601806105,2,0
1601807492,0,2
1601808637,1,0
1601810739,1,0
1601811286,0,1
1601814891,1,1
1601818473,14,1
1601819625,1,0
1601821461,1,0
1601825100,2,1
1601826645,3,1
1601829289,6,0
1601831732,4,0
1601833079,1,0
1601835818,0,2
1601837131,4,0
1601840073,8,1
1601841876,2,0
1601843689,2,0
1601847291,2,0
1601848928,2,0
1601850878,1,1
1601853593,1,0
1601857542,2,0
1601858086,1,0
1601860491,1,1
1601861687,1,0
1601863970,1,1
1601865277,0,1
1601868891,2,0
1601872500,1,1
1601876091,3,0
1601879687,2,0
1601882874,1,0
1601884316,3,0
1601885855,2,0
1601886879,0,1
1601888390,0,2
1601894095,0,1
1601898309,1,1
1601899622,1,0
1601901294,1,0
1601904893,1,1
1601907063,1,0
1601908495,2,1
1601909605,1,0
1601910774,0,1
1601915687,0,1
1601918740,2,1
1601922877,2,1
1601926491,1,1
1601928440,1,0
1601930099,0,1
1601936185,1,0
1601937276,1,1
1601940893,0,2
1601943064,0,1
1601944490,2,1
1601948084,0,1
1601954748,1,0
1601955285,0,2
1601958898,0,1
1601962485,1,1
1601963991,0,1
1601969722,0,1
1601971499,2,1
1601976316,1,0
1601976893,1,2
1601978382,0,2
1601979758,1,0
1601981442,1,1
1601984082,1,1
1601987681,0,3
1601989053,0,1
1601991280,0,1
1601993197,2,1
1601994896,0,2
1601996094,1,1
1601997938,1,0
1601998480,1,2
1602000558,8,1
1602002082,1,0
1602003740,0,1
1602005678,2,0
1602006962,3,0
1602008736,2,0
1602011575,1,1
1602012880,0,1
1602014823,1,0
1602018648,0,1
1602024641,4,0
1602026742,1,1
1602030340,3,2
1602034493,0,2
1602037119,9,1
1602038097,0,2
1602041699,0,1
1602044433,2,0
1602045286,0,1
1602048887,2,1
1602051475,0,1
1602052477,1,0
1602053880,1,0
1602055548,0,1
1602056083,0,1
1602057954,2,2
1602061832,0,1
1602063286,1,0
1602064769,0,1
1602066882,1,1
1602068350,0,1
1602069911,1,0
1602072680,2,0
1602074030,1,1
1602078992,2,0
1602080756,1,0
1602083555,8,1
1602087527,1,0
1602093034,1,0
1602098272,0,2
1602101196,0,1
1602102898,0,1
1602104006,1,0
1602105280,0,1
1602109536,1,0
1602110089,0,1
1602113142,1,0
1602113692,0,3
1602115903,1,0
1602118248,1,0
1602120876,1,1
1602123943,2,0
1602125440,1,1
1602128081,0,2
1602130948,2,2
1602132408,1,0
1602142477,0,2
1602145543,0,1
1602148875,0,2
1602152752,1,0
1602153292,1,0
1602155720,0,1
1602158348,1,0
1602159938,1,0
1602163555,2,0
1602164669,0,1
1602167691,0,1
1602171289,2,0
1602174891,3,1
1602176125,1,4
1602177937,0,1
1602179202,1,0
1602184845,0,1
1602186477,1,2
1602189286,0,3
1602192020,0,1
1602196486,0,4
1602199540,0,2
1602203697,0,1
1602206758,1,3
1602208156,1,1
1602210884,2,3
1602213787,1,1
1602214497,0,1
1602217561,0,1
1602218914,1,0
1602221682,3,2
1602222950,1,0
1602225305,2,1
1602228899,1,2
1602231451,0,1
1602236088,2,3
1602238591,0,1
1602239676,0,1
1602242741,1,0
1602244135,5,2
1602247631,1,0
1602250483,0,1
1602251796,1,1
1602257144,1,1
1602261285,0,1
1602264883,2,1
1602268491,0,2
1602272089,1,1
